Trddt,Clsprc
2019/12/31,51.75
2020/1/2,51.77
2020/1/3,51.14
2020/1/6,50.66
2020/1/7,51.43
2020/1/8,50.77
2020/1/9,51.79
2020/1/10,53.18
2020/1/13,53.5
2020/1/14,51.75
2020/1/15,52.3
2020/1/16,52.19
2020/1/17,52.21
2020/1/20,51.43
2020/1/21,49.88
2020/1/22,50.94
2020/1/23,51.39
2020/2/3,46.25
2020/2/4,44.2
2020/2/5,44.97
2020/2/6,45.5
2020/2/7,46.08
2020/2/10,46.68
2020/2/11,47.91
2020/2/12,47.22
2020/2/13,45.61
2020/2/14,45.94
2020/2/17,46.56
2020/2/18,46.3
2020/2/19,46.39
2020/2/20,47.71
2020/2/21,47.42
2020/2/24,47.34
2020/2/25,46.4
2020/2/26,46.01
2020/2/27,46.84
2020/2/28,44.98
2020/3/2,45.56
2020/3/3,46.05
2020/3/4,46.7
2020/3/5,48.13
2020/3/6,47.09
2020/3/9,45.02
2020/3/10,46.41
2020/3/11,46.42
2020/3/12,45.34
2020/3/13,44.55
2020/3/16,42.63
2020/3/17,43.06
2020/3/18,41.69
2020/3/19,40.08
2020/3/20,40.69
2020/3/23,39.03
2020/3/24,40
2020/3/25,41.9
2020/3/26,42.05
2020/3/27,43.11
2020/3/30,41.86
2020/3/31,43.05
2020/4/1,43.32
2020/4/2,43.48
2020/4/3,43.59
2020/4/7,44.91
2020/4/8,44.89
2020/4/9,44.74
2020/4/10,44.49
2020/4/13,44.49
2020/4/14,44.83
2020/4/15,44.5
2020/4/16,43.61
2020/4/17,45.04
2020/4/20,45.84
2020/4/21,44.04
2020/4/22,45.27
2020/4/23,45.31
2020/4/24,46.5
2020/4/27,45.28
2020/4/28,47.4
2020/4/29,45.78
2020/4/30,46.1
2020/5/6,45.76
2020/5/7,45.35
2020/5/8,45.86
2020/5/11,45.43
2020/5/12,44.79
2020/5/13,47.13
2020/5/14,48.43
2020/5/15,47.4
2020/5/18,48.89
2020/5/19,49.49
2020/5/20,49.82
2020/5/21,49.68
2020/5/22,47.54
2020/5/25,48
2020/5/26,49
2020/5/27,48.9
2020/5/28,49.42
2020/5/29,50.39
2020/6/1,51.01
2020/6/2,49.99
2020/6/3,49.65
2020/6/4,51.7
2020/6/5,52.7
2020/6/8,53.2
2020/6/9,54.55
2020/6/10,56.13
2020/6/11,55.17
2020/6/12,55.65
2020/6/15,53.28
2020/6/16,55.3
2020/6/17,54.4
2020/6/18,54.55
2020/6/19,56.45
2020/6/22,56.07
2020/6/23,61.2
2020/6/24,62.36
2020/6/29,61.91
2020/6/30,62.42
2020/7/1,65.26
2020/7/2,63.85
2020/7/3,62.39
2020/7/6,63.56
2020/7/7,66
2020/7/8,66.03
2020/7/9,72.63
2020/7/10,73.1
2020/7/13,80.41
2020/7/14,82.2
2020/7/15,82.39
2020/7/16,74.15
2020/7/17,71.28
2020/7/20,68.8
2020/7/21,69.5
2020/7/22,70.08
2020/7/23,69.87
2020/7/24,66
2020/7/27,66.98
2020/7/28,64.78
2020/7/29,64.47
2020/7/30,64.53
2020/7/31,63.7
2020/8/3,63.98
2020/8/4,64.63
2020/8/5,64.4
2020/8/6,62.04
2020/8/7,61.86
2020/8/10,62.18
2020/8/11,61.89
2020/8/12,59.58
2020/8/13,60.96
2020/8/14,64.7
2020/8/17,67.54
2020/8/18,68.73
2020/8/19,68.39
2020/8/20,67.96
2020/8/21,68.66
2020/8/24,69.44
2020/8/25,70.86
2020/8/26,69.9
2020/8/27,69.88
2020/8/28,73.52
2020/8/31,76.09
2020/9/1,73.17
2020/9/2,72.62
2020/9/3,75.6
2020/9/4,73.83
2020/9/7,70.49
2020/9/8,68.36
2020/9/9,65.46
2020/9/10,65.65
2020/9/11,66.48
2020/9/14,66.48
2020/9/15,66.47
2020/9/16,64.6
2020/9/17,64.5
2020/9/18,65.06
2020/9/21,64.96
2020/9/22,65.3
2020/9/23,64.05
2020/9/24,62.85
2020/9/25,62.21
2020/9/28,64.96
2020/9/29,64.23
2020/9/30,64.5
2020/10/9,66.04
2020/10/12,68.87
2020/10/13,69.25
2020/10/14,70
2020/10/15,69.48
2020/10/16,69
2020/10/19,68.8
2020/10/20,71.29
2020/10/21,71.43
2020/10/22,74.37
2020/10/23,69.64
2020/10/26,69.43
2020/10/27,69.12
2020/10/28,73.61
2020/10/29,73.03
2020/10/30,66.23
2020/11/2,68.47
2020/11/3,70.66
2020/11/4,69.8
2020/11/5,72.29
2020/11/6,72.5
2020/11/9,72.92
2020/11/10,75.99
2020/11/11,77
2020/11/12,81.99
2020/11/13,76.29
2020/11/16,78.58
2020/11/17,75.6
2020/11/18,73.1
2020/11/19,73.38
2020/11/20,74.75
2020/11/23,75.09
2020/11/24,74.1
2020/11/25,70.88
2020/11/26,71.65
2020/11/27,71.76
2020/11/30,70
2020/12/1,70.08
2020/12/2,69.26
2020/12/3,69.6
2020/12/4,71.1
2020/12/7,70.79
2020/12/8,72.96
2020/12/9,71.57
2020/12/10,72.6
2020/12/11,72.99
2020/12/14,76.02
2020/12/15,75.69
2020/12/16,78.16
2020/12/17,79.4
2020/12/18,78.79
2020/12/21,77.9
2020/12/22,78.52
2020/12/23,78.39
2020/12/24,74.03
2020/12/25,71.89
2020/12/28,76.71
2020/12/29,73.75
2020/12/30,75.47
2020/12/31,83.02